title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,country_of_publication,year
#ASKGARYVEE,Gary Vaynerchuk,9780062273123,0062273124,5.0,,,https://www.amazon.com/AskGaryVee-Entrepreneurs-Leadership-Social-Self-Awareness/dp/0062273124?tag=NYTBS-20,,,English-speaking area,2016-03-08
#GIRLBOSS,Sophia Amoruso,9780399169274,039916927X,2.0,,,https://www.amazon.com/GIRLBOSS-Sophia-Amoruso/dp/039916927X?tag=NYTBS-20,,,English-speaking area,2014-05-06
10% HAPPIER,Dan Harris,9780062265425,0062265423,2.0,,"A co-anchor of ""Nightline"" reports on the science and spiritual basis of meditation, and describes how it has improved his life.",https://www.amazon.com/10?tag=NYTBS-20,,,English-speaking area,2014-03-11
10-DAY GREEN SMOOTHIE CLEANSE,J. J. Smith,9780982301821,0982301820,4.0,,Beverages of combined leafy greens and fruits are the basis for a weight loss and health plan.,https://www.amazon.com/10-Day-Green-Smoothie-Cleanse-Smith/dp/1501100106?tag=NYTBS-20,,,English-speaking area,2014-02-09
10-Day Green Smoothie Cleanse,J. J. Smith,,9781501100109,6.0,4.7,,,,"[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]",,
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,J. J. Smith,,,93.0,4.7,,,,,,2015-01-05
"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",Jade Summer,,1079520015,4.0,4.6,,,,"[""Books"",""Arts & Photography"",""Graphic Design""]",,2019-07-15
"100 BULLETS: DELUXE EDITION, BOOK FOUR",Brian Azzarello;Eduardo Risso,9781401238070,1401238076,4.0,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 59 through 80.",https://www.amazon.com/100-Bullets-Deluxe-Edition-Book/dp/1401238076?tag=NYTBS-20,,"Murder, Gangs, Comic books, strips, Revenge",English-speaking area,2013
"100 BULLETS: DELUXE EDITION, BOOK THREE",Brian Azzarello;Edward Risso,9781401237295,1401237290,2.0,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 37 through 58.",https://www.amazon.com/100-Bullets-Deluxe-Edition-Three/dp/1401237290?tag=NYTBS-20,,"Crime, Comic books, strips",English-speaking area,
100 DAYS OF REAL FOOD,Lisa Leake,9780062252555,0062252550,2.0,,"Wholesome, family-friendly recipes that are easy to prepare.",https://www.amazon.com/100-Days-Real-Food-Wholesome/dp/0062252550?tag=NYTBS-20,,"Nutrition, Food habits, Processed foods, Natural foods",English-speaking area,2014-08-26
