author,birth_date,birth_place,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Gary Vaynerchuk,,,,,,,TRUE,
Sophia Amoruso,,,,,,,FALSE,
Dan Harris,03/08/1979,,,,,,TRUE,
J J Smith,,,,,,,FALSE,
JJ Smith,,US,,,,,TRUE,
Jade Summer,,,,,,,FALSE,
Brian Azzarello,,,,,,,FALSE,
Eduardo Risso,,,,,,,FALSE,
Edward Risso,,,,,,,FALSE,
Lisa Leake,,,,,,,FALSE,
Clint Emerson,,,,,,,FALSE,
Thomas Pavitte,,,,,,,FALSE,
Kyra Sundance,20/07/1970,,,,,,TRUE,
Chalcy,,,,,,,FALSE,
Elias Hill,,,1872-03-28,,,,TRUE,
Debbie Macomber,22/10/1948,,,Romance_novel; Women's_fiction,,,TRUE,
Ron Darling,19/08/1960,,,,,,TRUE,
Daniel Paisner,12/12/1959,,,,,,TRUE,
James Patterson,22/03/1947,,,Comedy; Mystery_fiction; Realistic_fiction; Romance_novel; Science_fiction; Thriller_(genre); Young_adult_fiction,,,TRUE,
Maxine Paetro,,,,,,,FALSE,
Stephen King,06/03/1986,,,,,,TRUE,
OKAYADO,,,,,,,FALSE,
Jordan B. Peterson,12/06/1962,,,,,,TRUE,
Norman Doidge MD - foreword,,,,,,,FALSE,
Solomon Northup,1807-07-10,,,,,,TRUE,
Simon Johnson,16/01/1963,,,,,,TRUE,
James Kwak,,,,,,,TRUE,
Mitchell Zuckoff,,,,,,,FALSE,
members of the Annex Security Team,,,,,,,FALSE,
Bernard Cornwell,23/02/1944,,,Historical_fiction; Historical_non-fiction,,,TRUE,
Charles C Mann,,,,,,,FALSE,
John C Maxwell,,,,,,,FALSE,
Andrew Gross,,,,Thriller_(genre),,,TRUE,
George Orwell,,,,,,,TRUE,
Benjamin May,,,,,,,FALSE,
Charlton Griffin,,,,,,,FALSE,
Haruki Murakami,12/01/1949,,,Bildungsroman; Literary_realism; Magical_realism; Picaresque_novel; Postmodernism; Surrealism,,,TRUE,
Bob Greene,,,,,,,TRUE,
Howard Lancer,,,,,,,FALSE,
Ronald L Kotler,,,,,,,FALSE,
Diane L McKay,,,,,,,FALSE,
Smart Kids Notebooks,,,,,,,FALSE,
Dick Morris,28/11/1948,,,,,,TRUE,
Eileen McGann,,,,Celtic_music; Folk_music; Traditional_folk_music,,,TRUE,
Albert Brooks,22/07/1947,,,,,,TRUE,
Kathy Reichs,,,,Crime,,,TRUE,
Naoki Urasawa,02/01/1960,,,,,,TRUE,
Yuval Noah Harari,24/02/1976,,,,,,TRUE,
January LaVoy,,,,,,,FALSE,
Little,,,,,,,TRUE,
Brown,,,,,,,TRUE,
1 more,,,,,,,FALSE,
James PattersonMaxine Paetro,,,,,,,FALSE,
Kim Stanley Robinson,23/03/1952,,,,,,TRUE,
Cottage Door Press,,,,,,,FALSE,
Paul Auster,03/02/1947,,,Literary_fiction; Poetry,,,TRUE,
Cliff Michaels,,,,,,,FALSE,
Timothy Ferriss,,,,,,,FALSE,
Howard G Buffett,,,,,,,FALSE,
Howard W Buffett,,,,,,,FALSE,
Liz Vaccariello,,,,,,,FALSE,
Mindy Hermann,,,,,,,FALSE,
George W Bush,,,,,,,FALSE,
George W. Bush,06/07/1946,,,,,,TRUE,
Danielle Steel,14/08/1947,,,Romance_novel,,,TRUE,
Robert Greene,25/05/1976,,,,,,TRUE,
Richard Poe,25/01/1946,,,,,,TRUE,
HighBridge,,,,,,,FALSE,
Jamie Oliver,,,,,,,TRUE,
The Oatmeal,,,,,,,TRUE,
National Geographic Kids,,,,,,,FALSE,
by National Kids,,,,,,,FALSE,
Steven Pressman,23/02/1952,,,,,,TRUE,
by Adult Coloring Books,,,,,,,FALSE,
Swear Word Coloring Book,,,,,,,FALSE,
Adult Colouring Books,,,,,,,FALSE,
Alex Fleming,,,,,,,FALSE,
National GeographicJoe Yogerst,,,,,,,FALSE,
Jerry Rice,03/10/1990,,,,,,TRUE,
Randy O Williams,,,,,,,FALSE,
Rick Yancey,04/11/1962,,,Fantasy; Horror_fiction; Science_fiction,,,TRUE,
Lee Child,29/10/1954,,,Crime_fiction; Mystery_fiction; Thriller_(genre),,,TRUE,
Jesse Ventura,15/07/1951,,,,,,TRUE,
Dick Russell,,,,,,,FALSE,
Mary C Neal,,,,,,,FALSE,
David Wojnarowicz,14/09/1954,,22/07/1992,,,,TRUE,
James Romberger,,,,,,,FALSE,
the editors of Good Housekeeping,,,,,,,FALSE,
Dean Koontz,09/07/1945,,,Fantasy_literature; Horror_fiction; Science_fiction; Thriller_(genre),,,TRUE,
Katie Cotugno,,,,,,,FALSE,
Chris Raschka,06/03/1959,,,,,,TRUE,
Elizabeth George,,,04/04/1902,,,,TRUE,
Karen Kingsbury,,,,,,,FALSE,
Fred Rogers,20/03/1928,,27/02/2003,,,,TRUE,
Jamie McGuire,13/11/1983,,,,,,TRUE,
Louise Penny,01/07/1958,,,Mystery_fiction,,,TRUE,
Mo Willems,11/02/1968,,,,,,TRUE,
Jeff Shaara,,,,,,,FALSE,
Kaoru Mori,,,,,,,TRUE,
Marlon James,24/11/1970,,,,,,TRUE,
Stephen Hawking,,,,,,,FALSE,
Matthew R. Kratter,,,,,,,FALSE,
Mike Norgaard,,,,,,,FALSE,
Diana Gabaldon,11/01/1952,,,Historical_fantasy; Historical_fiction; Historical_mystery; Historical_romance; Scientific_literature; Speculative_fiction,,,TRUE,
Davina Porter,,,,,,,FALSE,
Kazuma Kamachi,,,,Light_novel,,,TRUE,
Anita Shreve,,,,,,,TRUE,
Oliver Jeffers,,,,,,,TRUE,
Sam Winston,,,,,,,FALSE,
Michael Ian Black,12/08/1971,,,Observational_comedy,,,TRUE,
Marc Rosenthal,,,,,,,FALSE,
Susan Mallery,,,,Contemporary_romance; Women's_fiction,,,TRUE,
George RR Martin,,,,,,,FALSE,
Chris Hayes,,,,,,,TRUE,
Ken Follett,05/06/1949,,,Historical_fiction; Spy_novel; Thriller_(genre),,,TRUE,
Patrick J Kennedy,,,,,,,FALSE,
Stephen Fried,19/01/1958,,,,,,TRUE,
V E Schwab,,,,,,,FALSE,
Barbra Streisand,24/04/1942,,,,,,TRUE,
Sarah J Maas,,,,,,,FALSE,
Linda Lael Miller,,,,Romance_novel,,,TRUE,
Raymond E Feist,,,,,,,FALSE,
Brian Grazer,12/07/1951,,,,,,TRUE,
Charles Fishman,,,,,,,FALSE,
Charles Dickens,1812-02-07,,1870-06-09,,,,TRUE,
Derek Miller,,,,Blues_music,,,TRUE,
Patrick Stewart,,,,,,,TRUE,
Simon,,,,,,,TRUE,
Roy Dotrice,26/05/1923,,16/10/2017,,,,TRUE,
George R.R. Martin,,,,,,,FALSE,
John Lee,07/12/1957,,,,,,TRUE,
Sarah J. Maas,05/03/1986,,,,,,TRUE,
Amanda Leigh Cobb,,,,,,,FALSE,
Jennifer Ikeda,,,,,,,FALSE,
Stina Nielsen,,,,,,,FALSE,
Recorded Books,,,,,,,TRUE,
George R R Martin,,,,,,,FALSE,
Robert Crais,20/06/1953,,,Crime_fiction; Fiction; Thrillers,,,TRUE,
Jacqueline Winspear,30/04/1955,,,,,,TRUE,
Peter Straub,02/03/1943,,04/09/2022,,,,TRUE,
Jack Higgins,,,,,,,TRUE,
Sister Souljah,,,,,,,TRUE,
Stuart Woods,09/01/1938,,22/07/2022,,,,TRUE,
John le Carre,,,,,,,FALSE,
Arek Hersh,13/09/1928,,,,,,TRUE,
Deborah Harkness,,,,Fantasy_literature; Historical_fiction,,,TRUE,
W Bruce Cameron,,,,,,,FALSE,
Ethan Canin,19/07/1960,,,Novel; Short_story,,,TRUE,
George R. R. Martin,20/09/1948,,,Fantasy; Horror_fiction; Science_fiction,,,TRUE,
Frank Berrios,,,,,,,FALSE,
Mike Omer,,,,Mystery_novels; Thriller_novels,,,TRUE,
by Deborah E. Harkness,,,,,,,FALSE,
Maeve Binchy,28/05/1939,,30/07/2012,Travel_writing,,,TRUE,
Elizabeth Graeber,,,,,,,FALSE,
Elizabeth Warren,22/06/1949,,,,,,TRUE,
Candice Bergen,28/09/1964,,,,,,TRUE,
Spencer Quinn,,,,,,,FALSE,
Charlie Cantrell,,,,,,,FALSE,
Rachel Wagner,,,,,,,FALSE,
Nuala Gardner,,,,,,,FALSE,
Jimmy Carter,01/10/1924,,,,,,TRUE,
Michael J Fox,,,,,,,FALSE,
Brianna Labuskes,,,,,,,FALSE,
Daniel Abraham,,,,,,,TRUE,
Tommy Patterson,,,,,,,FALSE,
Lorrie Moore,13/01/1957,,,,,,TRUE,
Amor Towles,,,,,,,FALSE,
Eloisa James,,,,,,,FALSE,
Kate Atkinson,28/06/1972,,,,,,TRUE,
David Baldacci,05/08/1960,,,Children's_literature; Thriller_(genre),,,TRUE,
Edoardo Ballerini,20/03/1970,,,,,,TRUE,
Brittany Pressley,,,,,,,FALSE,
Nicholas Guy Smith,,,,,,,FALSE,
Project Management Institute,,,,,,,FALSE,
Michael Palmer,,,,,,,TRUE,
Dave Eggers,12/03/1970,,,,,,TRUE,
Alan Furst,,,,,,,TRUE,
Erin Hunter,,,,,,,FALSE,
James Comey,14/12/1960,,,,,,TRUE,
Joseph Loconte,,,,,,,FALSE,
