author,birth_date,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Gary Vaynerchuk,,,,,,,True
Sophia Amoruso,,,,,,,False
Dan Harris,1979-08-03,,,,,,True
J. J. Smith,,,,,,,True
Jade Summer,,,,,,,False
Brian Azzarello,,,,,,,False
Eduardo Risso,,,,,,,False
Edward Risso,,,,,,,False
Lisa Leake,,,,,,,False
Clint Emerson,,,,,,,False
Thomas Pavitte,,,,,,,False
Kyra Sundance,1970-07-20,United States,,,,,True
Chalcy,,,,,,,False
Elias Hill,,,1872-03-28,,,,True
Debbie Macomber,1948-10-22,,,Romance_novel; Women's_fiction,,,True
Ron Darling,1960-08-19,,,,,,True
Daniel Paisner,1959-12-12,,,,,,True
James Patterson,1823-07-02,United States,1893-05-04,,,,True
Maxine Paetro,,,,,,,False
Stephen King,1986-03-06,United States,,,,,True
OKAYADO,,,,,,,False
Jordan B. Peterson,1962-06-12,,,,,,True
Narrator),,,,,,,False
Norman Doidge,,,,,,,True
Solomon Northup,1807-07-10,,,,,,True
Simon Johnson,1963-01-16,,,,,,True
James Kwak,,United States,,,,,True
Mitchell Zuckoff,,,,,,,False
members of the Annex Security Team,,,,,,,False
Bernard Cornwell,1944-02-23,,,Historical_fiction; Historical_non-fiction,,,True
Charles C. Mann,,,,Nonfiction,,,True
John C. Maxwell,1947-02-20,,,,,,True
Andrew Gross,,,,Thriller_(genre),,,True
George Orwell,1903-06-25,British Raj,1950-01-21,,,,True
Benjamin May,,,,,,,False
Page2,,,,,,,False
Charlton Griffin,,,,,,,False
Haruki Murakami,1949-01-12,Japan,,Bildungsroman; Literary_realism; Magical_realism; Picaresque_novel; Postmodernism; Surrealism,,,True
Bob Greene,,,,,,,True
Howard Lancer,,,,,,,False
Ronald L. Kotler,,,,,,,False
Diane L. McKay,,,,,,,False
Smart Kids Notebooks,,,,,,,False
Dick Morris,1948-11-28,United States,,,,,True
Eileen McGann,,,,Celtic_music; Folk_music; Traditional_folk_music,,,True
Albert Brooks,1947-07-22,,,,,,True
Kathy Reichs,,United States,,Crime,,,True
Naoki Urasawa,1960-01-02,Japan,,,,,True
Yuval Noah Harari,1976-02-24,,,,,,True
January LaVoy,,,,,,,False
Little,,,,,,,True
Brown,1909-04-09,United States,1991-03-03,,,,True
Kim Stanley Robinson,1952-03-23,,,,,,True
Cottage Door Press,,,,,,,False
Paul Auster,1947-02-03,United States,,Literary_fiction; Poetry,,,True
Cliff Michaels,,,,,,,False
Timothy Ferriss,,,,,,,False
Howard G. Buffett,,,,,,,False
Howard W. Buffett,,,,,,,False
Liz Vaccariello,,,,,,,False
Mindy Hermann,,,,,,,False
George W. Bush,1946-07-06,,,,,,True
Danielle Steel,1947-08-14,,,Romance_novel,,,True
Robert Greene,1976-05-25,,,,,,True
Richard Poe,1946-01-25,United States,,,,,True
HighBridge,,,,,,,False
Jamie Oliver,,,,,,,True
The Oatmeal,,,,,,,True
National Geographic Kids,,,,,,,False
National Kids,,,,,,,False
Steven Pressman,1952-02-23,United States,,,,,True
Adult Coloring Books,,,,,,,False
Swear Word Coloring Book,,,,,,,False
Adult Colouring Books,,,,,,,False
Alex Fleming,,,,,,,False
National Geographic,,,,,,,True
Joe Yogerst,,,,,,,False
Jerry Rice,1990-10-03,,,,,,True
Randy O. Williams,,,,,,,False
Rick Yancey,1962-11-04,,,Fantasy; Horror_fiction; Science_fiction,,,True
Lee Child,1954-10-29,Warwickshire,,Crime_fiction; Mystery_fiction; Thriller_(genre),,,True
Jesse Ventura,1951-07-15,United States,,,,,True
Dick Russell,,,,,,,False
Mary C. Neal,,,,,,,False
David Wojnarowicz,1954-09-14,United States,1992-07-22,,,,True
James Romberger,,,,,,,False
the editors of Good Housekeeping,,,,,,,False
Dean Koontz,1945-07-09,,,Fantasy_literature; Horror_fiction; Science_fiction; Thriller_(genre),,,True
Katie Cotugno,,,,,,,False
Chris Raschka,1959-03-06,,,,,,True
Elizabeth George,,England,1902-04-04,,,,True
Karen Kingsbury,,,,,,,False
Fred Rogers,1918-07-10,New Zealand,1998-08-07,,,,True
Jamie McGuire,1983-11-13,United Kingdom,,,,,True
Louise Penny,1958-07-01,,,Mystery_fiction,,,True
Mo Willems,1968-02-11,United States,,,,,True
Jeff Shaara,,,,,,,False
Kaoru Mori,,,,,,,True
Marlon James,1970-11-24,Jamaica,,,,,True
Stephen Hawking,,,,,,,False
Matthew R. Kratter,,,,,,,False
Mike Norgaard,,,,,,,False
Little Cash Machines L,,,,,,,False
L,,,,,,,True
Diana Gabaldon,1952-01-11,,,Historical_fantasy; Historical_fiction; Historical_mystery; Historical_romance; Scientific_literature; Speculative_fiction,,,True
Davina Porter,,,,,,,False
Kazuma Kamachi,,,,Light_novel,,,True
Anita Shreve,,United States,,,,,True
Oliver Jeffers,,,,,,,True
Sam Winston,,,,,,,False
Michael Ian Black,1971-08-12,United States,,Observational_comedy,,,True
Marc Rosenthal,,,,,,,False
Susan Mallery,,United States,,Contemporary_romance; Women's_fiction,,,True
George R. R. Martin,1948-09-20,United States,,Fantasy; Horror_fiction; Science_fiction,,,True
Chris Hayes,,,,,,,True
Ken Follett,1949-06-05,United Kingdom,,Historical_fiction; Spy_novel; Thriller_(genre),,,True
Patrick J. Kennedy,,,,,,,False
Stephen Fried,1958-01-19,United States,,,,,True
V. E. Schwab,1987-07-07,,,,,,True
Barbra Streisand,1942-04-24,,,,,,True
Sarah J. Maas,1986-03-05,,,,,,True
Linda Lael Miller,,,,Romance_novel,,,True
Raymond E. Feist,1945-12-21,,,,,,True
Brian Grazer,1951-07-12,United States,,,,,True
Charles Fishman,,,,,,,False
Charles Dickens,,,,,,,True
Derek Miller,1936-02-14,,,,,,True
M,,,,,,,True
V,,,,,,,True
Patrick Stewart,,,,,,,True
Simon,,,,,,,True
Roy Dotrice,1923-05-26,Bailiwick of Guernsey,2017-10-16,,,,True
John Lee,,,,,,,True
Amanda Leigh Cobb,,,,,,,False
Jennifer Ikeda,,,,,,,False
Stina Nielsen,,,,,,,False
Recorded Books,,,,,,,True
Robert Crais,1953-06-20,,,Crime_fiction; Fiction; Thrillers,,,True
Jacqueline Winspear,1955-04-30,United Kingdom,,,,,True
Peter Straub,1943-03-02,United States,2022-09-04,,,,True
Jack Higgins,,,,,,,True
Sister Souljah,,,,,,,True
Stuart Woods,1938-01-09,,2022-07-22,,,,True
John le Carre,,,,,,,False
Arek Hersh,1928-09-13,Poland,,,,,True
Deborah Harkness,,United States,,Fantasy_literature; Historical_fiction,,,True
W. Bruce Cameron,,,,,,,False
Ethan Canin,1960-07-19,United States,,Novel; Short_story,,,True
Frank Berrios,,,,,,,False
Mike Omer,,,,Mystery_novels; Thriller_novels,,,True
Deborah E. Harkness,,,,,,,False
Maeve Binchy,1939-05-28,Republic of Ireland,2012-07-30,Travel_writing,,,True
Elizabeth Graeber,,,,,,,False
Elizabeth Warren,1949-06-22,United States,,,,,True
Candice Bergen,1946-05-09,United States,,,,,True
Spencer Quinn,,,,,,,False
Charlie Cantrell,,,,,,,False
Rachel Wagner,,,,,,,False
Nuala Gardner,,,,,,,False
Jimmy Carter,1924-10-01,,,,,,True
Michael J. Fox,1961-06-09,,,,,,True
Brianna Labuskes,,,,,,,False
Daniel Abraham,,,,,,,True
Tommy Patterson,,,,,,,False
Lorrie Moore,1957-01-13,,,,,,True
Amor Towles,,,,,,,False
Eloisa James,,,,,,,False
Kate Atkinson,1951-12-20,North Yorkshire,,Crime_fiction,,,True
David Baldacci,1960-08-05,United States,,Children's_literature; Thriller_(genre),,,True
Edoardo Ballerini,1970-03-20,United States,,,,,True
Brittany Pressley,,,,,,,False
Nicholas Guy Smith,,,,,,,False
Project Management Institute,,,,,,,False
Michael Palmer,,,,,,,True
Dave Eggers,1970-03-12,,,,,,True
Alan Furst,,United States,,,,,True
Erin Hunter,,,,,,,False
James Comey,1960-12-14,,,,,,True
Joseph Loconte,,,,,,,False
Amanda Lindhout,1981-06-12,,,,,,True
Sara Corbett,,,,,,,False
Sue Grafton,1940-04-24,United States,2017-12-28,,,,True
Tony Blair,1953-05-06,United Kingdom,,,,,True
Victor Methos,,,,,,,False
Jennifer L. Armentrout,1980-06-11,,,Fantasy; New_adult_fiction; Romance_novel,,,True
Sabrina Jeffries,,,,,,,True
John le Carré,,,,,,,False
Bryan Cranston,1956-03-07,United States,,,,,True
Arnold Palmer,1886-09-14,United Kingdom,1973-11-27,,,,True
Gregory Maguire,1954-06-09,,,,,,True
Hanya Yanagihara,,United States,,,,,True
Linda Thompson,1947-08-23,,,British_folk_rock; Contemporary_folk_music,,,True
Linda Sue Park,1960-03-25,,,Young_adult_fiction,,,True
Ishmael Beah,1980-11-23,Sierra Leone,,,,,True
Jeremy,,,,,,,True
Audrey Roloff,,,,,,,False
Isabel Allende,1942-08-02,Peru,,,,,True
Nick Caistor,,,,,,,False
Amanda Hopkinson,,,,,,,False
David Baker,1931-12-21,,2016-03-26,Classical_music; Jazz,,,True
Cynthia Bishop,,,,,,,False
William Stevenson,1934-05-07,,2021-07-07,,,,True
Fredrik Backman,1981-06-02,,,Fiction; Humor; Satire,,,True
Philip Kerr,1956-02-22,United Kingdom,2018-03-23,,,,True
