title,author,rank,description,publisher,amazon_product_url
ODD HOURS,Dean R Koontz,1,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20
THE HOST,Stephenie Meyer,2,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,3,A woman's happy marriage is shaken when she encounters an old boyfriend.,St. Martin's,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
THE FRONT,Patricia Cornwell,4,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",Putnam,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20
SNUFF,Chuck Palahniuk,5,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,Doubleday,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,6,A woman finds an unexpected love,"Little, Brown",http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20
PHANTOM PREY,John Sandford,7,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,Putnam,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20
SWINE NOT?,Jimmy Buffett,8,A Southern family tries to hide its pet pig at a New York luxury hotel.,"Little, Brown",http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20
CARELESS IN RED,Elizabeth George,9,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",Harper,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20
THE WHOLE TRUTH,David Baldacci,10,An intelligence agent and a journalist team up against a warmongering defense contractor.,Grand Central,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20
